nid,nguid,nmod,nusn,ntags,nflds,nmodel
1292381855590,veag;I|Qem,1419258108,1606,[],"['Alabama', '<img src=""1280px-Alabama_in_United_States.svg.png"" />', 'AL', 'Birmingham', 'Montgomery', 'Florida, Georgia, Mississippi, Tennessee', '<img src=""a1fbdf69b436f528728a69548b0e3768.gif"" />', 'The Yellowhammer State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292381919678,j-SUtR.sVf,1419258085,1606,[],"['Alaska', '<img src=""1280px-Alaska_in_United_States_(US50).svg.png"" />', 'AK', 'Anchorage', 'Juneau', 'None', '<img src=""5daea436523c15c4bacb6ffef0a5c03a.gif"" />', 'The Last Frontier', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292381990066,ca(!p77Wvk,1419258055,1606,[],"['Arizona', '<img src=""1280px-Arizona_in_United_States.svg.png"" />', 'AZ', 'Phoenix', 'Phoenix', 'California, Colorado, Nevada, New Mexico, Utah', '<img src=""281eec9adf11b615794cff36adf37ff4.gif"" />', 'The Grand Canyon State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292382064836,"t,CAyz3QB[",1419258036,1606,[],"['Arkansas', '<img src=""1280px-Arkansas_in_United_States.svg.png"" />', 'AR', 'Little Rock', 'Little Rock', 'Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas', '<img src=""dbdf84279e38e2cd92f6609714c66347.gif"" />', 'The Natural State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292382151030,jJNV9d*lqe,1662040084,1667,[],"['California', '<img src=""1280px-California_in_United_States.svg.png"" />', 'CA', 'Los Angeles', 'Sacramento', 'Oregon, Nevada, Arizona', '<img src=""6167d783df8864232a71761989305117.gif"" />', 'The Golden State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292382213684,o%~uSojl)v,1419257974,1606,[],"['Colorado', '<img src=""1280px-Colorado_in_United_States.svg.png"" />', 'CO', 'Denver', 'Denver', 'Arizona, Kansas, Nebraska, New Mexico, Oklahoma, Utah, Wyoming', '<img src=""d039c8d74502ab9f4db219e478d58367.gif"" />', 'The Centennial State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292382295944,"rCl6bk,Cwf",1419256231,1606,[],"['Connecticut', '<img src=""800px-Connecticut_in_United_States.svg.png"" />', 'CT', 'Bridgeport', 'Hartford', 'Massachusetts, New York, Rhode Island', '<img src=""65538bc6c93248e1850f8e64848cefcf.gif"" />', 'The Constitution State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292382362596,uy!4t:$_Q#,1419256283,1606,[],"['Delaware', '<img src=""1181px-Delaware_in_United_States_(zoom)_(US48).svg.png"" />', 'DE', 'Wilmington', 'Dover', 'Maryland, New Jersey, Pennsylvania', '<img src=""763f9402fb425a7435b11845e46c7704.gif"" />', 'The First State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292382425329,d0xuWjS_)J,1419256833,1606,[],"['Washington, DC', '<img src=""750px-Washington,_D.C._locator_map.svg.png"" />', 'DC', 'None', 'None', 'Virginia, Maryland', '<img src=""4e4ace009680f6c0116fa6ccf53f31a4.gif"" />', ""Nation's Capital"", '<img src=""blankmap (1).jpg"" />', '']",States
1292382483578,s?RqTgRb9N,1419257943,1606,[],"['Florida', '<img src=""1280px-Florida_in_United_States.svg.png"" />', 'FL', 'Jacksonville', 'Tallahassee', 'Georgia, Alabama', '<img src=""c746c77b0b4b40f5e11a82f9cee40169.gif"" />', 'The Sunshine State', '<img src=""blankmap (1).jpg"" />', 'y']",States
1292382558823,m9wmx3VqjJ,1419257922,1606,[],"['Georgia', '<img src=""1280px-Georgia_in_United_States.svg.png"" />', 'GA', 'Atlanta', 'Atlanta', 'Florida, Alabama, Tennessee, North Carolina, South Carolina', '<img src=""6c8c1eaf69aab3f2d794ee01b37cb91b.gif"" />', 'The Peach State', '<img src=""blankmap.jpg"" />', 'y']",States
1292382610260,pKOQh0tHoT,1419257892,1606,[],"['Hawaii', '<img src=""1280px-Hawaii_in_United_States_(zoom)_(US50)_(-grid).svg.png"" />', 'HI', 'Honolulu', 'Honolulu', 'None', '<img src=""f15ddf38fc9a7505bce3117e80626abb.gif"" />', 'The Aloha State', '<img src=""blankmap.jpg"" />', 'y']",States
1292382668992,o0cy=py#`~,1419257858,1606,[],"['Idaho', '<img src=""1280px-Idaho_in_United_States.svg.png"" />', 'ID', 'Boise', 'Boise', 'Montana, Nevada, Oregon, Utah, Washington, Wyoming', '<img src=""5ea7cbbb7a82baf72ae6255fea06d2cd.gif"" />', 'The Gem State', '<img src=""blankmap.jpg"" />', 'y']",States
1292382731354,"gSVd<PX89,",1419257832,1606,[],"['Illinios', '<img src=""1280px-Illinois_in_United_States.svg.png"" />', 'IL', 'Chicago', 'Springfield', 'Indiana, Kentucky, Missouri, Iowa, Wisconsin', '<img src=""c9cced478f2c2adb49e727186e00bed5.gif"" />', 'The Prairie State', '<img src=""blankmap.jpg"" />', 'y']",States
